Ticker,R2_Sum,GDP,Inflation,Unemployment,CCI
['AAL'],0.8850515384615385,0.26509,0.25113,0.24285,0.24093
['AAPL'],0.8601661538461537,0.21879,0.2198,0.23272,0.3287
['ABBV'],0.7920669230769231,0.23295,0.224,0.21153,0.33152
['ABNB'],0.7872307692307692,0.15154,0.23089,0.17168,0.21512
['ABT'],0.8256669230769231,0.23634,0.26559,0.26928,0.22879
['ACGL'],0.8251453846153847,0.18265,0.16066,0.21613,0.13287
['ACN'],0.8474015384615385,0.18116,0.18029,0.19549,0.21229
['ADI'],0.7681046153846154,0.23749,0.22698,0.27403,0.2615
['ADM'],0.8987407692307694,0.24255,0.27343,0.25425,0.22977
['ADP'],0.8634161538461537,0.19442,0.18451,0.21689,0.25033
['ADSK'],0.8338199999999999,0.2181,0.23736,0.17381,0.21688
['AEE'],0.8184038461538462,0.23744,0.23328,0.23334,0.29594
['AEP'],0.8695146153846155,0.22629,0.23722,0.23834,0.29815
['AES'],0.7924715384615385,0.24064,0.23524,0.24705,0.27707
['AFL'],0.9348938461538462,0.16866,0.15802,0.19667,0.16895
['AIG'],0.8370430769230768,0.16597,0.17105,0.15326,0.20204
['AIZ'],0.8763238461538462,0.15342,0.14067,0.16081,0.2374
['AJG'],0.8592984615384615,0.20982,0.21433,0.1726,0.2494
['AKAM'],0.8854799999999999,0.21199,0.24207,0.22975,0.16234
['ALB'],0.8311469230769231,0.2059,0.19822,0.2261,0.36978
['ALGN'],0.8707992307692309,0.23114,0.22332,0.24599,0.22263
['ALLE'],0.7739807692307692,0.21906,0.23392,0.22553,0.32149
['ALL'],0.9140530769230769,0.14704,0.17577,0.19081,0.17868
['AMAT'],0.8425815384615384,0.22702,0.23974,0.27775,0.25549
['AMCR'],0.7973107692307692,0.23588,0.23827,0.28781,0.23804
['AMD'],0.8770507692307693,0.22784,0.24373,0.2161,0.23541
['AME'],0.824879230769231,0.21245,0.20438,0.22995,0.35323
['AMGN'],0.8516415384615386,0.26941,0.25988,0.2337,0.237
['AMT'],0.886666153846154,0.1965,0.2007,0.20439,0.24456
['AMZN'],0.7397692307692308,0.24934,0.25073,0.24098,0.25894
['ANET'],0.8783353846153846,0.2255,0.24598,0.22498,0.22661
['ANSS'],0.7943846153846154,0.21661,0.20361,0.18928,0.23666
['AON'],0.9046984615384616,0.21349,0.21238,0.20933,0.21096
['AOS'],0.771853076923077,0.18491,0.17413,0.227,0.33704
['APA'],0.8897161538461538,0.22879,0.23192,0.22181,0.31748
['APD'],0.7945730769230769,0.2429,0.23739,0.21568,0.30403
['APH'],0.8617746153846154,0.24558,0.26688,0.24285,0.24469
['APTV'],0.7851061538461539,0.23074,0.21878,0.2256,0.32488
['ARE'],0.8439300000000001,0.19666,0.19998,0.22207,0.22744
['ATO'],0.7659415384615383,0.23972,0.24155,0.23331,0.28543
['AVB'],0.8105630769230768,0.1588,0.16559,0.19474,0.2501
['AVGO'],0.8492246153846155,0.23732,0.22514,0.2477,0.28984
['AVY'],0.8222692307692309,0.22278,0.24284,0.2441,0.29028
['AWK'],0.7893469230769232,0.24404,0.23877,0.23832,0.27886
['AXON'],0.7141230769230769,0.22833,0.26401,0.23653,0.27113
['AZO'],0.8898715384615384,0.2234,0.25263,0.25455,0.26942
['A'],0.771516923076923,0.20084,0.2135,0.23755,0.34811
['BALL'],0.7979553846153846,0.22925,0.21608,0.19616,0.35851
['BAX'],0.8031315384615385,0.23919,0.20849,0.22542,0.3269
['BA'],0.8616415384615385,0.25414,0.26666,0.28977,0.18943
['BBWI'],0.8503392307692308,0.25575,0.25875,0.27078,0.21472
['BBY'],0.83452,0.22616,0.19638,0.24129,0.25925
['BDX'],0.8356269230769231,0.23962,0.23204,0.24111,0.28723
['BEN'],0.8425223076923077,0.19305,0.19497,0.2242,0.23394
['BG'],0.818153076923077,0.2416,0.26899,0.25652,0.23288
['BIIB'],0.8606730769230768,0.2385,0.2312,0.20722,0.32309
['BIO'],0.7524923076923078,0.26365,0.25068,0.23779,0.24788
['BKNG'],0.8325576923076923,0.17955,0.19815,0.22521,0.16632
['BKR'],0.8437399999999999,0.24349,0.23185,0.24882,0.27585
['BK'],0.93772,0.14679,0.13668,0.13824,0.19367
['BLDR'],0.810303076923077,0.24235,0.24076,0.21197,0.30493
['BMY'],0.834466923076923,0.23073,0.25104,0.27085,0.24737
['BRO'],0.8539615384615384,0.19392,0.19042,0.19049,0.27132
['BR'],0.824383076923077,0.24142,0.23433,0.21994,0.15046
['BSX'],0.8474092307692307,0.24782,0.25173,0.2688,0.23165
['BWA'],0.804196923076923,0.24365,0.23109,0.24949,0.27578
['BXP'],0.8091176923076924,0.21644,0.23777,0.22442,0.16752
['BX'],0.9174038461538461,0.15087,0.14463,0.15517,0.16472
['CAG'],0.798383846153846,0.23699,0.21499,0.30941,0.23861
['CAH'],0.8010969230769233,0.22395,0.22287,0.24963,0.30354
['CARR'],0.7415846153846153,0.20157,0.21474,0.19374,0.38994
['CAT'],0.8563299999999999,0.24973,0.23496,0.30561,0.2097
['CBOE'],0.7590984615384614,0.16225,0.13997,0.15309,0.39084
['CBRE'],0.7965584615384615,0.2088,0.18822,0.18185,0.26729
['CB'],0.8337576923076925,0.1614,0.18247,0.1601,0.18835
['CCI'],0.9288430769230769,0.1986,0.21725,0.23771,0.1926
['CCL'],0.8863353846153845,0.24739,0.26687,0.26661,0.21913
['CDNS'],0.8987738461538461,0.19076,0.209,0.22412,0.29919
['CDW'],0.8104723076923077,0.22787,0.24436,0.24588,0.2819
['CEG'],0.7647146153846154,0.2118,0.21185,0.23896,0.33739
['CE'],0.871586153846154,0.25419,0.22267,0.24088,0.28226
['CF'],0.8790600000000001,0.19558,0.2135,0.23863,0.35229
['CHD'],0.8010976923076923,0.22936,0.21924,0.22405,0.32734
['CHRW'],0.8273638461538463,0.16986,0.16033,0.16688,0.34908
['CHTR'],0.8863092307692308,0.18644,0.21066,0.21139,0.23767
['CI'],0.8279076923076925,0.15416,0.15703,0.16011,0.22101
['CLX'],0.8100038461538461,0.22466,0.2265,0.32541,0.22342
['CL'],0.8573438461538463,0.23007,0.20641,0.21326,0.35026
['CMCSA'],0.7912984615384615,0.1993,0.19226,0.18337,0.27123
['CME'],0.8508553846153846,0.22937,0.19461,0.21572,0.20645
['CMG'],0.8761061538461538,0.217,0.22917,0.22686,0.25005
['CMI'],0.8351576923076921,0.21873,0.22928,0.25857,0.29342
['CMS'],0.7816200000000001,0.2232,0.22593,0.24577,0.30511
['CNC'],0.7772576923076924,0.22783,0.21131,0.18805,0.21897
['CNP'],0.7819576923076923,0.23178,0.22268,0.25252,0.29302
['COF'],0.8811353846153847,0.1581,0.14325,0.20444,0.18653
['COO'],0.7564100000000001,0.2522,0.24393,0.24747,0.2564
['COP'],0.8881592307692308,0.22469,0.22352,0.22399,0.32781
['COR'],0.78259,0.19839,0.22021,0.27638,0.30501
['COST'],0.8714661538461539,0.20024,0.19237,0.23388,0.29659
['CPAY'],0.8462046153846153,0.1864,0.20094,0.16262,0.29619
['CPB'],0.8801699999999999,0.23272,0.23626,0.2611,0.26993
['CPRT'],0.8348876923076923,0.22249,0.24228,0.22717,0.23113
['CPT'],0.8848323076923078,0.19539,0.18216,0.18785,0.28076
['CRL'],0.7603061538461537,0.25486,0.26007,0.24591,0.23915
['CRM'],0.8237223076923077,0.22637,0.20577,0.19458,0.21943
['CRWD'],0.8656630769230771,0.23784,0.22021,0.11947,0.19171
['CSCO'],0.8214892307692309,0.27038,0.24785,0.23551,0.24625
['CSGP'],0.9172361538461539,0.17421,0.17274,0.18533,0.23696
['CSX'],0.8622223076923077,0.22638,0.22574,0.26736,0.28052
['CTAS'],0.8306415384615385,0.27155,0.25715,0.22053,0.25077
['CTLT'],0.8037076923076923,0.26711,0.27356,0.26842,0.19091
['CTRA'],0.8082615384615385,0.18264,0.20708,0.23574,0.37454
['CTSH'],0.894676923076923,0.19169,0.20202,0.19093,0.1846
['CTVA'],0.8326892307692307,0.23204,0.22007,0.24391,0.22705
['CVS'],0.7917030769230771,0.21488,0.21863,0.24088,0.3256
['CVX'],0.8922730769230769,0.2104,0.21924,0.24753,0.32282
['CZR'],0.8342653846153846,0.23421,0.25697,0.24089,0.26793
['C'],0.8198153846153846,0.18136,0.16067,0.16818,0.1821
['DAL'],0.905946153846154,0.23625,0.24293,0.25979,0.26103
['DAY'],0.7988953846153847,0.20327,0.20337,0.19963,0.23989
['DD'],0.8112276923076922,0.25293,0.24188,0.24193,0.26325
['DECK'],0.7959776923076922,0.22022,0.26103,0.20736,0.23446
['DE'],0.82411,0.27069,0.25304,0.25796,0.21831
['DFS'],0.7943538461538461,0.1824,0.17552,0.1797,0.15469
['DGX'],0.8658815384615385,0.24995,0.24977,0.25086,0.24942
['DG'],0.8299369230769231,0.24812,0.28052,0.21179,0.18265
['DHI'],0.7699984615384614,0.21252,0.20897,0.2288,0.27278
['DHR'],0.7929476923076925,0.22772,0.24202,0.22829,0.30197
['DIS'],0.887057692307692,0.2257,0.22968,0.23455,0.31007
['DLR'],0.8560192307692306,0.20481,0.20373,0.22091,0.21671
['DOC'],0.834293076923077,0.22865,0.20892,0.20254,0.20604
['DOV'],0.7297561538461538,0.20461,0.20611,0.21521,0.37406
['DOW'],0.7806361538461538,0.2483,0.22139,0.23927,0.29104
['DPZ'],0.8032523076923078,0.21525,0.21699,0.24259,0.32517
['DRI'],0.8007769230769232,0.26774,0.23181,0.25519,0.24526
['DTE'],0.7481423076923078,0.2513,0.24957,0.2374,0.26173
['DUK'],0.8732815384615387,0.24331,0.22441,0.25197,0.28031
['DVA'],0.7861038461538462,0.24725,0.21893,0.22249,0.31133
['DVN'],0.7905623076923075,0.28297,0.26577,0.18799,0.26326
['DXCM'],0.8351969230769231,0.24575,0.23247,0.25055,0.27124
['D'],0.7831307692307694,0.26366,0.25667,0.24332,0.23635
['EA'],0.8629915384615386,0.20047,0.22859,0.16008,0.18008
['EBAY'],0.8499353846153845,0.17714,0.19635,0.20766,0.26501
['ECL'],0.7853553846153847,0.2331,0.24425,0.24458,0.27807
['ED'],0.8875530769230768,0.24974,0.24777,0.2729,0.22959
['EFX'],0.8313776923076923,0.22238,0.2144,0.2127,0.19666
['EG'],0.797143846153846,0.15012,0.16449,0.14215,0.23555
['EIX'],0.8316515384615383,0.24984,0.24643,0.25159,0.25215
['ELV'],0.8463830769230769,0.17257,0.15932,0.16548,0.19494
['EL'],0.8399307692307693,0.25742,0.27999,0.23213,0.23046
['EMN'],0.8383430769230767,0.21629,0.20932,0.2309,0.34349
['EMR'],0.7739869230769233,0.28403,0.2642,0.25206,0.19972
['ENPH'],0.8255507692307694,0.27083,0.24149,0.23691,0.25077
['EPAM'],0.9038507692307693,0.17047,0.20428,0.18651,0.20797
['EQIX'],0.8674200000000002,0.19111,0.20131,0.22514,0.22859
['EQR'],0.8961415384615384,0.17735,0.20318,0.18396,0.20474
