Ticker,Avg Stock Price All Time,Stock Trend,Average Returns % (Mean),Standard Deviation,"Cov (Stock, Market)",Variance (Market),Beta,"R2_score (Indicators: GDP, Inf, Unemp, CCI)"
AAL,28.87,Increasing,5.98,43.51,0.0329,0.1893,0.17,0.9360369080330304
AAPL,70.21,Decreasing,30.39,25.51,0.0139,0.0651,0.21,0.9611199617333712
ABBV,72.26,Decreasing,18.94,16.56,0.0078,0.0274,0.28,0.9729116088425561
ABT,65.8,Decreasing,14.56,15.33,0.0117,0.0235,0.5,0.9706031838269635
ACGL,34.1,Decreasing,16.88,18.03,-0.0026,0.0325,-0.08,0.940960586139933
ACN,165.91,Decreasing,17.57,12.92,0.012,0.0167,0.72,0.9631299389583651
ADBE,253.56,Decreasing,28.63,24.46,0.0151,0.0598,0.25,0.9574167602272624
ADI,93.42,Decreasing,17.93,13.36,0.0133,0.0178,0.75,0.9636756322767864
ADM,44.32,Decreasing,12.76,19.48,0.0123,0.038,0.32,0.9678043901213056
ADP,124.76,Decreasing,17.2,10.86,0.0095,0.0118,0.81,0.9851306847350414
ADSK,139.29,Decreasing,20.98,24.86,0.0188,0.0618,0.3,0.9567726514612404
AEE,53.93,Decreasing,12.9,8.68,0.0015,0.0075,0.2,0.980771592166798
AEP,59.64,Decreasing,10.59,10.19,-0.0012,0.0104,-0.12,0.979717561365373
AES,13.65,Decreasing,9.81,19.87,0.0163,0.0395,0.41,0.9533904564426978
AFL,39.1,Decreasing,13.3,14.27,0.0076,0.0204,0.37,0.9762143930150881
AIG,45.43,Increasing,7.18,21.05,0.0169,0.0443,0.38,0.929963375520176
AIZ,94.6,Decreasing,13.35,13.16,0.0111,0.0173,0.64,0.9613424531219956
AJG,87.45,Decreasing,20.75,11.57,0.0072,0.0134,0.54,0.9694140038344277
AKAM,76.07,Decreasing,9.37,16.81,0.0069,0.0283,0.24,0.9221751872706523
ALB,108.7,Decreasing,20.22,43.7,0.0348,0.191,0.18,0.9500984892862113
ALGN,224.83,Increasing,31.5,47.36,0.0444,0.2243,0.2,0.9359223321148461
ALLE,80.5,Decreasing,11.35,11.51,0.0096,0.0133,0.72,0.9708703037760443
ALL,80.21,Increasing,12.13,11.15,0.011,0.0124,0.89,0.9791490708548778
AMAT,56.89,Decreasing,31.02,38.49,0.0383,0.1481,0.26,0.9495412879437226
AMCR,8.26,Increasing,4.96,8.3,0.0053,0.0069,0.77,0.9514281278565803
AMD,39.53,Decreasing,52.28,57.18,0.0053,0.327,0.02,0.9618888472775361
AME,81.28,Decreasing,14.57,13.75,0.0131,0.0189,0.69,0.9605498180280876
AMGN,160.1,Decreasing,12.46,8.76,0.0008,0.0077,0.1,0.9636891633537814
AMP,154.33,Decreasing,19.66,24.9,0.0259,0.062,0.42,0.9618034539608432
AMT,143.6,Decreasing,13.06,15.51,0.005,0.0241,0.21,0.9705983115677489
AMZN,78.1,Increasing,26.49,27.0,0.0073,0.0729,0.1,0.9679274981790839
ANSS,186.77,Decreasing,16.11,20.02,0.0079,0.0401,0.2,0.9583454533251897
AON,164.29,Decreasing,18.38,8.52,0.008,0.0073,1.1,0.971492806494759
AOS,44.31,Increasing,16.26,19.55,0.0152,0.0382,0.4,0.9603434107071878
APA,39.56,Decreasing,0.58,37.97,0.0042,0.1442,0.03,0.9282879537520792
APD,167.47,Decreasing,15.53,11.55,0.004,0.0133,0.3,0.9582100586200116
APH,22.23,Decreasing,17.33,11.15,0.0129,0.0124,1.04,0.9622932554579938
